idx,sec,addr,Address,Lat,Lng
288,中山區,民族東路410巷2弄16號,中山區民族東路410巷2弄16號,25.066733,121.537515
289,萬華區,梧州街60巷5號,萬華區梧州街60巷5號,25.0358633,121.4971776
290,大安區,東豐街36號,大安區東豐街36號,25.0359574,121.5461639
291,南港區,興華路76巷3號,南港區興華路76巷3號,25.055758,121.6054713
292,信義區,和平東路三段509巷17號,信義區和平東路三段509巷17號,25.0173779,121.560731
293,內湖區,成功路二段12號,內湖區成功路二段12號,25.0601938,121.5912189
294,大安區,和平東路一段183巷11弄3之4號,大安區和平東路一段183巷11弄3之4號,25.027365,121.533393
295,士林區,大南路87號,士林區大南路87號,25.0894879,121.524189
296,大安區,通化街90號,大安區通化街90號,25.0299535,121.5540289
297,內湖區,文德路101巷3弄2號,內湖區文德路101巷3弄2號,25.0791338,121.5833342
298,松山區,民生東路三段130巷5弄16號,松山區民生東路三段130巷5弄16號,25.056881,121.546895
299,大安區,敦化南路一段295巷16號,大安區敦化南路一段295巷16號,25.0354001,121.5500933
300,文山區,景華街147巷10號,文山區景華街147巷10號,24.9969603,121.5470291
301,南港區,研究院路一段151巷10號,南港區研究院路一段151巷10號,25.050249,121.615972
302,大安區,四維路208巷9之1號,大安區四維路208巷9之1號,25.0264519,121.5472013
303,信義區,吳興街269巷1弄2.4號,信義區吳興街269巷1弄2.4號,25.0241379,121.5688518
304,中山區,新生北路三段54號,中山區新生北路三段54號,25.0652415,121.5273688
305,士林區,光華路26巷3號,士林區光華路26巷3號,25.1372789,121.5419913
306,大安區,基隆路二段132巷3號,大安區基隆路二段132巷3號,25.0286804,121.5564263
307,大安區,基隆路二段132巷1之1號,大安區基隆路二段132巷1之1號,25.0287322,121.5564644
308,松山區,民權東路三段103巷15之1號,松山區民權東路三段103巷15之1號,25.0635226,121.5450746
309,士林區,美崙街63號,士林區美崙街63號,25.097,121.522176
310,北投區,懷德街11巷18號,北投區懷德街11巷18號,25.112175,121.518185
311,萬華區,大理街181號,萬華區大理街181號,25.0339008,121.4944355
312,北投區,尊賢街302巷1號,北投區尊賢街302巷1號,25.1180097,121.5068167
313,內湖區,內湖路一段323巷25號,內湖區內湖路一段323巷25號,25.0841991,121.5680819
314,內湖區,內湖路一段323巷23號,內湖區內湖路一段323巷23號,25.0841267,121.5680752
315,內湖區,內湖路一段691巷11號,內湖區內湖路一段691巷11號,25.0802954,121.5766559
316,中山區,新生北路二段137巷35號,中山區新生北路二段137巷35號,25.0613179,121.5288238
317,信義區,松隆路73巷4號,信義區松隆路73巷4號,25.045191,121.5693563
318,文山區,羅斯福路五段212巷10之3號,文山區羅斯福路五段212巷10之3號,25.003236,121.537353
319,文山區,羅斯福路五段212巷10之4號,文山區羅斯福路五段212巷10之4號,25.0032189,121.537519
320,文山區,興德路6巷22號,文山區興德路6巷22號,25.0006359,121.556156
321,南港區,成福路180巷6號,南港區成福路180巷6號,25.0411906,121.5876027
322,松山區,南京東路五段63號,松山區南京東路五段63號,25.0517676,121.559391
323,文山區,興德路6巷20號,文山區興德路6巷20號,25.0006447,121.5560781
324,中山區,民族東路252巷24號,中山區民族東路252巷24號,25.0674413,121.5350857
325,北投區,中央北路四段456巷5弄3號,北投區中央北路四段456巷5弄3號,25.1294239,121.4695225
326,中山區,伊通街87巷9之3號,中山區伊通街87巷9之3號,25.0525986,121.5358748
327,信義區,中坡南路22巷8號,信義區中坡南路22巷8號,25.0432518,121.582354
328,信義區,中坡南路22巷6號,信義區中坡南路22巷6號,25.043311,121.58243
329,信義區,吳興街284巷28弄8號,信義區吳興街284巷28弄8號,25.023653,121.563026
330,文山區,興隆路一段260巷2號,文山區興隆路一段260巷2號,24.9982769,121.545058
331,文山區,興隆路一段260巷4號,文山區興隆路一段260巷4號,24.99821,121.544961
332,中山區,建國北路二段6巷17號,中山區建國北路二段6巷17號,25.0526807,121.5355479
333,南港區,研究院路三段86巷27弄10號,南港區研究院路三段86巷27弄10號,25.0351124,121.6135449
334,信義區,虎林街120巷16號,信義區虎林街120巷16號,25.042048,121.576244
